file_name,visualization_path,ocr_text,ocr_after_correction,true_label,predicted_label,regex_used,classifier_results_json,matches,matched_words,matched_categories
./images\alcohol\0216a.jpg,./results/without_visual_correction\alcohol_0216a_ocr.png,try specii tequiia fiavor try specii tequiia fiavor,try specii tequiia fiavor try specii tequiia fiavor,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0389na.jpg,./results/without_visual_correction\non_alcohol_0389na_ocr.png,looking for taste water lookingfor taste water,looking for taste water lookingfor taste water,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\3002a.jpg,./results/without_visual_correction\alcohol_3002a_ocr.png,"getready for, reserve brandy get rea, reserve brandy","getready for, reserve brandy get rea, reserve brandy",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'brandy', 'category': 'drink categories'}, {'word': 'brandy', 'category': 'drink categories'}], 'matched_words': 'brandy,brandy', 'matched_categories': 'drink categories'}","[{""word"": ""brandy"", ""category"": ""drink categories""}, {""word"": ""brandy"", ""category"": ""drink categories""}]","brandy,brandy",drink categories
./images\non_alcohol\0362na.jpg,./results/without_visual_correction\non_alcohol_0362na_ocr.png,don't missispeciai juice hce,don't missispeciai juice hce,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0046na.jpg,./results/without_visual_correction\non_alcohol_0046na_ocr.png,"roiilmuitin, i/z-imin, push down, beverage or soup（icup）z-amin, amburger（i/zb), e-amin., bakedpotato（imed), g-bmin., chicken pieces（i ib）, io-izmn, espresso, menu roimuiin, i/z-imin., push down, beverage or soup （icup）z-amin., .e-amin., io-izmin, espresso, menu","roiilmuitin, i/z-imin, push down, beverage or soup（icup）z-amin, amburger（i/zb), e-amin., bakedpotato（imed), g-bmin., chicken pieces（i ib）, io-izmn, espresso, menu roimuiin, i/z-imin., push down, beverage or soup （icup）z-amin., .e-amin., io-izmin, espresso, menu",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\3004na.jpg,./results/without_visual_correction\non_alcohol_3004na_ocr.png,enjoy rcscrvc cvcnt juicc offc njoy rcscrvc cvcnt juicc offc,enjoy rcscrvc cvcnt juicc offc njoy rcscrvc cvcnt juicc offc,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\3062a.jpg,./results/without_visual_correction\alcohol_3062a_ocr.png,meria nen,meria nen,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0297na.jpg,./results/without_visual_correction\non_alcohol_0297na_ocr.png,looking for grab now speciai water ,looking for grab now speciai water ,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0385a.jpg,./results/without_visual_correction\alcohol_0385a_ocr.png,"ohn mcintyre, budweise john mcintyre","ohn mcintyre, budweise john mcintyre",alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0086na.jpg,./results/without_visual_correction\non_alcohol_0086na_ocr.png,espresso party espresso party,espresso party espresso party,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0484a.jpg,./results/without_visual_correction\alcohol_0484a_ocr.png,"check out, expiore guinness check out, expiore guinness","check out, expiore guinness check out, expiore guinness",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'guinness', 'category': 'brands'}, {'word': 'guinness', 'category': 'brands'}], 'matched_words': 'guinness,guinness', 'matched_categories': 'brands'}","[{""word"": ""guinness"", ""category"": ""brands""}, {""word"": ""guinness"", ""category"": ""brands""}]","guinness,guinness",brands
./images\alcohol\0252a.jpg,./results/without_visual_correction\alcohol_0252a_ocr.png,"miss grab now check bourbon, don't, window don't, issgrab now check bourbon, window","miss grab now check bourbon, don't, window don't, issgrab now check bourbon, window",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'bourbon', 'category': 'drink categories'}, {'word': 'bourbon', 'category': 'drink categories'}], 'matched_words': 'bourbon,bourbon', 'matched_categories': 'drink categories'}","[{""word"": ""bourbon"", ""category"": ""drink categories""}, {""word"": ""bourbon"", ""category"": ""drink categories""}]","bourbon,bourbon",drink categories
./images\alcohol\0197a.jpg,./results/without_visual_correction\alcohol_0197a_ocr.png,budweise ,budweise ,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0098a.jpg,./results/without_visual_correction\alcohol_0098a_ocr.png,get ready for check beer get ready for check beer,get ready for check beer get ready for check beer,alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'beer', 'category': 'drink categories'}, {'word': 'beer', 'category': 'drink categories'}], 'matched_words': 'beer,beer', 'matched_categories': 'drink categories'}","[{""word"": ""beer"", ""category"": ""drink categories""}, {""word"": ""beer"", ""category"": ""drink categories""}]","beer,beer",drink categories
./images\non_alcohol\3097na.jpg,./results/without_visual_correction\non_alcohol_3097na_ocr.png,"matcha, to let, cminston iba matcha, tolet, ib","matcha, to let, cminston iba matcha, tolet, ib",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0270na.jpg,./results/without_visual_correction\non_alcohol_0270na_ocr.png,checkout menu iemonade o ffer checkout menu iemonade o ffer,checkout menu iemonade o ffer checkout menu iemonade o ffer,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0263na.jpg,./results/without_visual_correction\non_alcohol_0263na_ocr.png,"iz, e, ho, z, try, speciai cannabis check iz, try, speciai cannabis check","iz, e, ho, z, try, speciai cannabis check iz, try, speciai cannabis check",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0463a.jpg,./results/without_visual_correction\alcohol_0463a_ocr.png,"donttmiss party nigh tiife, meriot isperty nigh tiife","donttmiss party nigh tiife, meriot isperty nigh tiife",alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0032na.jpg,./results/without_visual_correction\non_alcohol_0032na_ocr.png,"don't miss discount, liath, brewiemonade, gsieii don't miss discount, oliath, brewiemonade, gsieii","don't miss discount, liath, brewiemonade, gsieii don't miss discount, oliath, brewiemonade, gsieii",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0186a.jpg,./results/without_visual_correction\alcohol_0186a_ocr.png,try speciai rum try speciai rum,try speciai rum try speciai rum,alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'rum', 'category': 'drink categories'}, {'word': 'rum', 'category': 'drink categories'}], 'matched_words': 'rum,rum', 'matched_categories': 'drink categories'}","[{""word"": ""rum"", ""category"": ""drink categories""}, {""word"": ""rum"", ""category"": ""drink categories""}]","rum,rum",drink categories
./images\non_alcohol\0081na.jpg,./results/without_visual_correction\non_alcohol_0081na_ocr.png,"experiencereservereservemarujuana experiencerese, duana","experiencereservereservemarujuana experiencerese, duana",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0384a.jpg,./results/without_visual_correction\alcohol_0384a_ocr.png, , ,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [], 'matched_words': '', 'matched_categories': ''}",[],,
./images\non_alcohol\0420na.jpg,./results/without_visual_correction\non_alcohol_0420na_ocr.png,"whitesox.com, espresso espresso","whitesox.com, espresso espresso",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\3064a.jpg,./results/without_visual_correction\alcohol_3064a_ocr.png,rum ceiebration rum ceiebration,rum ceiebration rum ceiebration,alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'rum', 'category': 'drink categories'}, {'word': 'rum', 'category': 'drink categories'}], 'matched_words': 'rum,rum', 'matched_categories': 'drink categories'}","[{""word"": ""rum"", ""category"": ""drink categories""}, {""word"": ""rum"", ""category"": ""drink categories""}]","rum,rum",drink categories
./images\alcohol\0201a.jpg,./results/without_visual_correction\alcohol_0201a_ocr.png,don't miss cheok absoiut speoiai dont miss cheak absoiut speoiai,don't miss cheok absoiut speoiai dont miss cheak absoiut speoiai,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0459na.jpg,./results/without_visual_correction\non_alcohol_0459na_ocr.png,xperiencebarmiikreserve xperiencebarmiikreserve,xperiencebarmiikreserve xperiencebarmiikreserve,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0280na.jpg,./results/without_visual_correction\non_alcohol_0280na_ocr.png,water water,water water,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0392a.jpg,./results/without_visual_correction\alcohol_0392a_ocr.png,"check out of fer, check rum offer check out of fer, check rum offer","check out of fer, check rum offer check out of fer, check rum offer",alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'rum', 'category': 'drink categories'}, {'word': 'rum', 'category': 'drink categories'}], 'matched_words': 'rum,rum', 'matched_categories': 'drink categories'}","[{""word"": ""rum"", ""category"": ""drink categories""}, {""word"": ""rum"", ""category"": ""drink categories""}]","rum,rum",drink categories
./images\alcohol\0279a.jpg,./results/without_visual_correction\alcohol_0279a_ocr.png,noitsidgiggniw ,noitsidgiggniw ,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0246a.jpg,./results/without_visual_correction\alcohol_0246a_ocr.png, t, t,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0024na.jpg,./results/without_visual_correction\non_alcohol_0024na_ocr.png, , ,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [], 'matched_words': '', 'matched_categories': ''}",[],,
./images\non_alcohol\0480na.jpg,./results/without_visual_correction\non_alcohol_0480na_ocr.png,"make.beiiey, okingfor taste discountherbai tea, imported make.beiiev, for taste discount herbai tea","make.beiiey, okingfor taste discountherbai tea, imported make.beiiev, for taste discount herbai tea",non_alcohol,alcohol,False,"{'prediction': 'alcohol', 'matches': [{'word': 'port', 'category': 'drink categories'}], 'matched_words': 'port', 'matched_categories': 'drink categories'}","[{""word"": ""port"", ""category"": ""drink categories""}]",port,drink categories
./images\non_alcohol\0163na.jpg,./results/without_visual_correction\non_alcohol_0163na_ocr.png,"mgxigm, notnii tngbizgtg, xnirb, vbigig xninb","mgxigm, notnii tngbizgtg, xnirb, vbigig xninb",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\alcohol\0014a.jpg,./results/without_visual_correction\alcohol_0014a_ocr.png,tmuooab eeonmiugsbodb moisideiooyt ,tmuooab eeonmiugsbodb moisideiooyt ,alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0048na.jpg,./results/without_visual_correction\non_alcohol_0048na_ocr.png,experience ceiebration bar energy drink discount experience ceiebration bar energy drink discount,experience ceiebration bar energy drink discount experience ceiebration bar energy drink discount,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'energy drink_NON_ALCOHOL', 'category': 'non_alcohol_exclude'}, {'word': 'energy drink_NON_ALCOHOL', 'category': 'non_alcohol_exclude'}], 'matched_words': 'energy drink_NON_ALCOHOL,energy drink_NON_ALCOHOL', 'matched_categories': 'non_alcohol_exclude'}","[{""word"": ""energy drink_NON_ALCOHOL"", ""category"": ""non_alcohol_exclude""}, {""word"": ""energy drink_NON_ALCOHOL"", ""category"": ""non_alcohol_exclude""}]","energy drink_NON_ALCOHOL,energy drink_NON_ALCOHOL",non_alcohol_exclude
./images\non_alcohol\3024na.jpg,./results/without_visual_correction\non_alcohol_3024na_ocr.png,"don't, miss expiore taste, ai, co, cbd, grab now don't, miss expiore taste, amcco, cbd, arabnow","don't, miss expiore taste, ai, co, cbd, grab now don't, miss expiore taste, amcco, cbd, arabnow",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0375na.jpg,./results/without_visual_correction\non_alcohol_0375na_ocr.png,z idonno ,z idonno ,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\3070na.jpg,./results/without_visual_correction\non_alcohol_3070na_ocr.png,try grab now sparkiing try grab now sparki,try grab now sparkiing try grab now sparki,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0329na.jpg,./results/without_visual_correction\non_alcohol_0329na_ocr.png,"lookingfor, partymenuiuice bar looking for, partymenuiuicebar","lookingfor, partymenuiuice bar looking for, partymenuiuicebar",non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
./images\non_alcohol\0023na.jpg,./results/without_visual_correction\non_alcohol_0023na_ocr.png,sbanomsi sbanomg,sbanomsi sbanomg,non_alcohol,non_alcohol,False,"{'prediction': 'non_alcohol', 'matches': [{'word': 'NO_MATCH', 'category': 'NO_MATCH_NON_ALCOHOL'}], 'matched_words': 'NO_MATCH', 'matched_categories': 'NO_MATCH_NON_ALCOHOL'}","[{""word"": ""NO_MATCH"", ""category"": ""NO_MATCH_NON_ALCOHOL""}]",NO_MATCH,NO_MATCH_NON_ALCOHOL
